supplier_id,name,contact_email,phone
1,Mitchell Group,robertnavarro@ramirez.org,607-315-8567x276
2,Mcbride-Galloway,sestrada@yahoo.com,(604)475-7423x23530
3,"Hoffman, Smith and Hayes",osbornejuan@gmail.com,238-869-4311
4,Duran Group,hdawson@gmail.com,(699)829-8164
5,Tran-Murray,christina74@hotmail.com,704-330-5099x2876
6,Hughes-Hess,bwilson@yahoo.com,+1-003-583-9084x53049
7,Foster-Guerra,lewissteven@yahoo.com,(509)432-1320x255
8,"Cervantes, Lee and Kelly",stephanieflores@white.com,274.649.5567x61215
9,"Dyer, Jackson and Mason",arandall@anderson.com,767.677.8853
10,Wise-Stevens,micheal07@yahoo.com,300-908-5275x8006
